,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,346,342,3.0,460.0,595.0
1,0.012999296188354492,54,1218,,,
2,0.4868001937866211,51,1227,,,
3,2.001258611679077,13,1341,,,
4,3.5158042907714844,13,1341,,,
5,5.0297393798828125,58,1206,,,
6,6.544081926345825,231,687,,,
7,8.058775424957275,462,-6,,,
8,9.57305645942688,498,-114,,,
9,11.087079524993896,498,-114,,,
10,12.601747989654541,498,-114,,,
11,14.11603856086731,498,-114,,,
12,15.630334854125977,379,243,,,
13,17.14415979385376,310,450,,,
14,18.659013509750366,242,654,,,
15,20.17330503463745,160,900,,,
16,21.68758749961853,123,1011,,,
17,23.20199418067932,222,714,,,
18,24.716278314590454,391,207,,,
19,26.23056960105896,498,-114,,,
20,27.74495768547058,498,-114,,,
21,29.25925302505493,498,-114,,,
22,30.772884607315063,498,-114,,,
23,32.287928104400635,427,99,,,
24,33.80220341682434,299,483,,,
25,35.31652092933655,175,855,,,
26,36.83090019226074,53,1221,,,
27,38.345075368881226,13,1341,,,
28,39.85948610305786,13,1341,,,
29,41.37354493141174,33,1281,,,
30,42.888166666030884,173,861,,,
31,44.402461528778076,360,300,,,
