,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,21,2790,10.0,300.0,595.0
1,0.013976812362670898,21,2790,,,
2,0.042482852935791016,21,2790,,,
3,0.06914758682250977,21,2790,,,
4,0.10064554214477539,21,2790,,,
5,0.1286301612854004,21,2790,,,
6,0.15930867195129395,21,2790,,,
7,0.192291259765625,21,2790,,,
8,0.22327327728271484,21,2790,,,
9,0.27324724197387695,21,2790,,,
10,0.30323028564453125,21,2790,,,
11,0.3402097225189209,21,2790,,,
12,0.368194580078125,21,2790,,,
13,0.39925217628479004,21,2790,,,
14,0.43128538131713867,21,2790,,,
15,0.473158597946167,21,2790,,,
16,0.5082814693450928,21,2790,,,
17,0.5331602096557617,21,2790,,,
18,0.565178632736206,21,2790,,,
19,0.5971529483795166,21,2790,,,
20,0.6491625308990479,21,2790,,,
21,0.6843092441558838,21,2790,,,
22,0.7163798809051514,21,2790,,,
23,0.7419626712799072,21,2790,,,
24,0.7739827632904053,21,2790,,,
25,0.805185079574585,21,2790,,,
26,0.8379840850830078,21,2790,,,
27,0.8691682815551758,21,2790,,,
28,0.9019596576690674,21,2790,,,
29,0.9343414306640625,21,2790,,,
30,0.965172529220581,21,2790,,,
31,0.9979593753814697,21,2790,,,
32,1.0521914958953857,21,2790,,,
33,1.0771615505218506,21,2790,,,
34,1.1069066524505615,21,2790,,,
35,1.1372873783111572,21,2790,,,
36,1.169173240661621,21,2790,,,
37,1.2017090320587158,21,2790,,,
38,1.2336938381195068,21,2790,,,
39,1.2656924724578857,21,2790,,,
40,1.2972939014434814,21,2790,,,
41,1.3291761875152588,21,2790,,,
42,1.3617393970489502,21,2790,,,
43,1.4157097339630127,21,2790,,,
44,1.4476921558380127,21,2790,,,
45,1.4776763916015625,22,2780,,,
46,1.5256495475769043,22,2780,,,
47,1.5356450080871582,22,2780,,,
48,1.567626714706421,22,2780,,,
49,1.5991666316986084,22,2780,,,
50,1.6317813396453857,22,2780,,,
51,1.663811206817627,22,2780,,,
52,1.7032980918884277,22,2780,,,
53,1.7359213829040527,23,2770,,,
54,1.772156000137329,23,2770,,,
55,1.811600923538208,24,2760,,,
56,1.843473196029663,25,2750,,,
57,1.8751957416534424,26,2740,,,
58,1.9074923992156982,26,2740,,,
59,1.9393162727355957,27,2730,,,
60,1.971571922302246,29,2710,,,
61,2.003511905670166,29,2710,,,
62,2.0351850986480713,31,2690,,,
63,2.0674479007720947,32,2680,,,
64,2.0998191833496094,33,2670,,,
65,2.1287505626678467,34,2660,,,
66,2.182182788848877,35,2650,,,
67,2.2133164405822754,37,2630,,,
68,2.2464542388916016,38,2620,,,
69,2.2784247398376465,40,2600,,,
70,2.310220956802368,42,2580,,,
71,2.3483340740203857,44,2560,,,
72,2.374208927154541,46,2540,,,
73,2.407228946685791,48,2520,,,
74,2.4393250942230225,50,2500,,,
75,2.4703469276428223,53,2470,,,
76,2.5024101734161377,55,2450,,,
77,2.5342934131622314,58,2420,,,
78,2.582331895828247,61,2390,,,
79,2.613802909851074,64,2360,,,
80,2.64642071723938,67,2330,,,
81,2.6786365509033203,70,2300,,,
82,2.7102036476135254,74,2260,,,
83,2.7424888610839844,77,2230,,,
84,2.7742323875427246,81,2190,,,
85,2.806206226348877,84,2160,,,
86,2.8382070064544678,88,2120,,,
87,2.86923885345459,91,2090,,,
88,2.902158260345459,94,2060,,,
89,2.9500794410705566,97,2030,,,
90,2.982621908187866,100,2000,,,
91,3.0152270793914795,104,1960,,,
92,3.0462300777435303,107,1930,,,
93,3.0782265663146973,110,1900,,,
94,3.1103155612945557,113,1870,,,
95,3.142040491104126,117,1830,,,
96,3.1742169857025146,120,1800,,,
97,3.206378936767578,124,1760,,,
98,3.23834490776062,128,1720,,,
99,3.2698605060577393,131,1690,,,
100,3.3180758953094482,135,1650,,,
101,3.3502469062805176,139,1610,,,
102,3.382498264312744,143,1570,,,
103,3.414609432220459,147,1530,,,
104,3.4462363719940186,150,1500,,,
105,3.478224039077759,154,1460,,,
106,3.5102245807647705,158,1420,,,
107,3.5423364639282227,161,1390,,,
108,3.574155330657959,164,1360,,,
109,3.606353282928467,168,1320,,,
110,3.6384193897247314,171,1290,,,
111,3.669318914413452,175,1250,,,
112,3.7187530994415283,178,1220,,,
113,3.749730110168457,182,1180,,,
114,3.782571792602539,186,1140,,,
115,3.814234495162964,190,1100,,,
116,3.8462343215942383,194,1060,,,
117,3.87800669670105,197,1030,,,
118,3.9092488288879395,201,990,,,
119,3.9413702487945557,204,960,,,
120,3.9732625484466553,208,920,,,
121,4.00526237487793,211,890,,,
122,4.038024663925171,215,850,,,
123,4.085254907608032,218,820,,,
124,4.118185758590698,221,790,,,
125,4.14925479888916,223,770,,,
126,4.181198596954346,227,730,,,
127,4.208993196487427,230,700,,,
128,4.243010997772217,234,660,,,
129,4.280255556106567,238,620,,,
130,4.311993360519409,241,590,,,
131,4.343294382095337,246,540,,,
132,4.37587308883667,249,510,,,
133,4.407867908477783,252,480,,,
134,4.439224481582642,256,440,,,
135,4.490262746810913,259,410,,,
136,4.524251222610474,263,370,,,
137,4.55623722076416,266,340,,,
138,4.5883705615997314,270,300,,,
139,4.614326477050781,273,270,,,
140,4.646059274673462,277,230,,,
141,4.677431106567383,280,200,,,
142,4.709557771682739,283,170,,,
143,4.742058753967285,291,90,,,
144,4.774227142333984,295,50,,,
